region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,custcat,income_per_year_employed,age_category,income_age_ratio
2,13,44,1,9,64.0,4,5,0.0,0,2,1,10.666666666666666,2,1.4545454545454546
3,11,33,1,7,136.0,5,5,0.0,0,6,4,22.666666666666668,2,4.121212121212121
3,68,52,1,24,116.0,1,29,0.0,1,2,3,3.8666666666666667,3,2.230769230769231
2,33,33,0,12,33.0,2,0,0.0,1,1,1,33.0,2,1.0
2,23,30,1,9,30.0,1,2,0.0,0,4,3,10.0,2,1.0
2,41,39,0,17,78.0,2,16,0.0,1,1,3,4.588235294117647,2,2.0
3,45,22,1,2,19.0,2,4,0.0,1,5,2,3.8,2,0.8636363636363636
2,38,35,0,5,76.0,2,10,0.0,0,3,4,6.909090909090909,2,2.1714285714285713
3,45,59,1,7,166.0,4,31,0.0,0,5,3,5.1875,3,2.8135593220338984
1,68,41,1,21,72.0,1,22,0.0,0,3,2,3.130434782608696,2,1.7560975609756098
2,5,33,0,10,125.0,4,5,0.0,1,1,1,20.833333333333332,2,3.787878787878788
3,7,35,0,14,80.0,2,15,0.0,1,1,3,5.0,2,2.2857142857142856
1,41,38,1,8,37.0,2,9,0.0,1,3,1,3.7,2,0.9736842105263158
2,57,54,1,30,115.0,4,23,0.0,1,3,4,4.791666666666667,3,2.1296296296296298
2,9,46,0,3,25.0,1,8,0.0,1,2,1,2.7777777777777777,2,0.5434782608695652
1,29,38,1,12,75.0,5,1,0.0,0,4,2,37.5,2,1.9736842105263157
3,60,57,0,38,162.0,2,30,0.0,0,1,3,5.225806451612903,3,2.8421052631578947
3,34,48,0,3,49.0,2,6,0.0,1,3,3,7.0,2,1.0208333333333333
2,1,24,0,3,20.0,1,3,0.0,0,1,1,5.0,2,0.8333333333333334
1,26,29,1,3,77.0,4,2,0.0,0,4,4,25.666666666666668,2,2.6551724137931036
3,6,30,0,7,16.0,3,1,0.0,1,1,2,8.0,2,0.5333333333333333
1,68,52,1,17,120.0,1,24,0.0,0,2,1,4.8,3,2.3076923076923075
3,53,33,0,10,101.0,5,4,0.0,1,2,4,20.2,2,3.0606060606060606
3,55,48,1,19,67.0,1,25,0.0,0,3,1,2.576923076923077,2,1.3958333333333333
3,14,43,1,18,36.0,1,5,0.0,0,5,3,6.0,2,0.8372093023255814
2,1,21,0,0,33.0,2,0,0.0,1,3,3,33.0,1,1.5714285714285714
2,42,40,0,7,37.0,2,8,0.0,1,1,4,4.111111111111111,2,0.925
3,25,33,1,11,31.0,1,5,0.0,0,4,3,5.166666666666667,2,0.9393939393939394
1,9,21,1,1,17.0,2,2,0.0,1,3,1,5.666666666666667,1,0.8095238095238095
2,13,33,1,9,19.0,4,0,0.0,1,2,2,19.0,2,0.5757575757575758
1,56,37,1,6,36.0,1,13,0.0,1,2,2,2.5714285714285716,2,0.972972972972973
1,71,53,1,27,155.0,5,12,0.0,0,2,4,11.923076923076923,3,2.9245283018867925
1,35,50,1,26,140.0,2,21,0.0,1,4,3,6.363636363636363,2,2.8
1,11,27,1,8,55.0,5,0,0.0,0,3,2,55.0,2,2.037037037037037
2,60,46,1,13,163.0,3,24,0.0,0,2,4,6.52,2,3.5434782608695654
3,20,35,1,11,52.0,4,0,0.0,0,2,2,52.0,2,1.4857142857142858
2,54,60,0,38,211.0,4,25,0.0,0,1,4,8.115384615384615,3,3.5166666666666666
1,44,57,1,1,186.0,2,17,0.0,0,2,3,10.333333333333334,3,3.263157894736842
1,11,41,1,0,39.0,1,1,0.0,1,2,3,19.5,2,0.9512195121951219
2,72,57,0,34,22.0,2,35,1.0,1,1,3,0.6111111111111112,3,0.38596491228070173
3,10,41,0,7,30.0,1,7,0.0,0,1,3,3.75,2,0.7317073170731707
2,15,28,0,0,29.0,2,4,0.0,1,1,3,5.8,2,1.0357142857142858
2,27,28,1,4,23.0,2,8,0.0,0,5,1,2.5555555555555554,2,0.8214285714285714
1,9,36,1,14,62.0,4,10,0.0,0,6,4,5.636363636363637,2,1.7222222222222223
1,64,43,1,20,76.0,4,20,0.0,1,4,3,3.619047619047619,2,1.7674418604651163
1,65,41,1,3,74.0,4,16,0.0,0,2,2,4.352941176470588,2,1.8048780487804879
1,49,51,1,27,63.0,4,19,0.0,0,5,2,3.15,3,1.2352941176470589
3,47,41,1,0,36.0,4,8,0.0,0,2,4,4.0,2,0.8780487804878049
3,9,34,1,9,33.0,2,8,0.0,1,4,1,3.6666666666666665,2,0.9705882352941176
1,5,36,0,14,29.0,2,9,0.0,1,1,3,2.9,2,0.8055555555555556
2,30,34,1,4,27.0,2,1,0.0,0,5,1,13.5,2,0.7941176470588235
1,56,52,1,28,49.0,2,12,0.0,0,4,2,3.769230769230769,3,0.9423076923076923
3,10,22,0,0,24.0,4,0,0.0,0,1,4,24.0,2,1.0909090909090908
1,7,26,1,3,26.0,2,2,0.0,0,5,1,8.666666666666666,2,1.0
1,52,27,0,6,47.0,3,5,0.0,0,2,1,7.833333333333333,2,1.7407407407407407
2,36,45,1,1,94.0,2,18,0.0,1,5,1,4.947368421052632,2,2.088888888888889
3,27,34,0,8,21.0,3,4,0.0,1,1,2,4.2,2,0.6176470588235294
1,58,62,1,36,27.0,1,0,0.0,0,2,1,27.0,3,0.43548387096774194
2,41,52,0,27,30.0,2,2,0.0,1,1,3,10.0,3,0.5769230769230769
2,47,40,1,16,127.0,4,12,0.0,1,4,2,9.76923076923077,2,3.175
2,55,39,1,15,137.0,2,20,0.0,1,2,3,6.523809523809524,2,3.5128205128205128
2,56,50,1,1,80.0,2,24,0.0,1,4,4,3.2,2,1.6
3,35,55,0,24,30.0,2,2,0.0,0,1,1,10.0,3,0.5454545454545454
2,69,51,1,11,438.0,4,23,0.0,1,2,4,18.25,3,8.588235294117647
2,44,39,0,16,79.0,2,16,0.0,0,1,4,4.647058823529412,2,2.0256410256410255
3,36,47,1,16,63.0,1,23,0.0,0,2,1,2.625,2,1.3404255319148937
3,28,51,1,22,40.0,3,10,0.0,1,6,3,3.6363636363636362,3,0.7843137254901961
1,72,67,1,44,51.0,1,34,1.0,0,2,3,1.457142857142857,4,0.7611940298507462
1,16,27,0,5,37.0,3,5,0.0,0,4,1,6.166666666666667,2,1.3703703703703705
3,3,43,0,19,61.0,4,11,0.0,1,1,1,5.083333333333333,2,1.4186046511627908
1,40,57,1,15,22.0,2,9,0.0,0,2,1,2.2,3,0.38596491228070173
3,16,39,0,6,44.0,4,3,0.0,1,1,2,11.0,2,1.1282051282051282
1,20,42,0,4,17.0,3,5,0.0,0,1,1,2.8333333333333335,2,0.40476190476190477
2,48,43,0,13,110.0,5,15,0.0,1,3,2,6.875,2,2.558139534883721
2,64,48,1,13,91.0,2,24,0.0,0,2,3,3.64,2,1.8958333333333333
1,8,46,0,3,46.0,2,8,0.0,0,1,1,5.111111111111111,2,1.0
1,40,38,1,10,85.0,3,12,0.0,0,2,3,6.538461538461538,2,2.236842105263158
2,38,71,0,27,10.0,2,12,1.0,0,1,1,0.7692307692307693,4,0.14084507042253522
1,67,68,0,28,244.0,1,47,0.0,1,1,3,5.083333333333333,4,3.588235294117647
1,26,42,0,0,80.0,4,15,0.0,1,1,4,5.0,2,1.9047619047619047
3,41,34,1,15,83.0,5,1,0.0,1,2,4,41.5,2,2.4411764705882355
2,2,31,0,2,21.0,1,6,0.0,0,1,1,3.0,2,0.6774193548387096
3,20,48,1,29,24.0,2,3,0.0,0,2,4,6.0,2,0.5
2,31,53,0,2,351.0,3,31,0.0,1,1,3,10.96875,3,6.622641509433962
2,45,52,1,4,169.0,4,29,0.0,1,4,2,5.633333333333334,3,3.25
2,33,27,1,7,46.0,2,7,0.0,0,4,1,5.75,2,1.7037037037037037
1,10,26,0,6,34.0,3,3,0.0,0,1,2,8.5,2,1.3076923076923077
2,62,54,1,2,50.0,4,3,0.0,0,2,4,12.5,3,0.9259259259259259
2,4,35,0,16,161.0,5,6,0.0,1,1,4,23.0,2,4.6
1,42,47,1,17,212.0,4,17,0.0,0,2,3,11.777777777777779,2,4.51063829787234
3,27,51,1,3,80.0,5,11,0.0,0,3,2,6.666666666666667,3,1.5686274509803921
2,38,42,0,1,30.0,4,7,0.0,1,1,1,3.75,2,0.7142857142857143
3,52,61,1,3,53.0,5,1,0.0,1,2,2,26.5,3,0.8688524590163934
3,35,33,0,9,73.0,5,4,0.0,1,1,4,14.6,2,2.212121212121212
3,3,20,1,1,17.0,2,0,0.0,1,4,1,17.0,1,0.85
2,17,33,0,9,23.0,5,3,0.0,0,1,4,5.75,2,0.696969696969697
1,55,53,1,21,34.0,1,8,0.0,0,2,3,3.7777777777777777,3,0.6415094339622641
3,43,36,1,5,107.0,1,19,0.0,1,3,2,5.35,2,2.9722222222222223
2,47,25,1,5,21.0,1,1,0.0,1,2,3,10.5,2,0.84
3,65,58,0,30,83.0,2,16,0.0,1,1,2,4.882352941176471,3,1.4310344827586208
1,13,20,0,1,17.0,3,0,0.0,0,5,4,17.0,1,0.85
3,64,25,1,4,76.0,3,2,0.0,1,6,3,25.333333333333332,2,3.04
2,12,24,0,2,19.0,1,0,0.0,0,1,3,19.0,2,0.7916666666666666
1,29,32,1,0,49.0,4,3,0.0,1,3,2,12.25,2,1.53125
2,23,47,0,21,173.0,3,22,0.0,1,1,2,7.521739130434782,2,3.6808510638297873
2,14,35,0,4,47.0,3,10,0.0,1,1,2,4.2727272727272725,2,1.3428571428571427
1,35,61,0,23,41.0,2,11,0.0,0,1,1,3.4166666666666665,3,0.6721311475409836
3,26,39,0,8,105.0,3,13,0.0,1,1,4,7.5,2,2.6923076923076925
1,13,54,0,2,31.0,4,2,0.0,0,1,1,10.333333333333334,3,0.5740740740740741
2,69,40,1,13,41.0,2,17,0.0,0,3,2,2.2777777777777777,2,1.025
3,61,50,1,30,102.0,4,9,0.0,1,3,2,10.2,2,2.04
2,45,22,1,2,36.0,4,0,0.0,1,5,2,36.0,2,1.6363636363636365
2,3,37,0,13,24.0,1,3,0.0,1,1,1,6.0,2,0.6486486486486487
2,53,22,0,1,25.0,4,0,0.0,0,2,2,25.0,2,1.1363636363636365
1,59,42,0,1,68.0,2,21,0.0,1,1,3,3.090909090909091,2,1.619047619047619
1,13,34,0,11,20.0,3,0,0.0,1,1,1,20.0,2,0.5882352941176471
3,31,31,0,4,48.0,1,15,0.0,0,1,3,3.0,2,1.5483870967741935
1,40,29,1,6,40.0,2,8,0.0,1,5,3,4.444444444444445,2,1.3793103448275863
1,48,55,0,15,79.0,1,25,0.0,0,1,3,3.0384615384615383,3,1.4363636363636363
3,3,31,0,1,28.0,1,0,0.0,0,1,1,28.0,2,0.9032258064516129
2,51,48,0,12,64.0,2,22,0.0,1,1,1,2.782608695652174,2,1.3333333333333333
3,33,41,0,15,37.0,2,11,0.0,0,1,1,3.0833333333333335,2,0.9024390243902439
3,14,47,1,7,48.0,1,13,0.0,0,2,1,3.4285714285714284,2,1.0212765957446808
1,17,42,1,6,131.0,5,6,0.0,0,3,2,18.714285714285715,2,3.119047619047619
3,19,29,1,9,18.0,2,2,0.0,0,3,1,6.0,2,0.6206896551724138
2,58,36,0,10,38.0,2,14,0.0,1,1,2,2.533333333333333,2,1.0555555555555556
3,22,23,0,3,37.0,2,4,0.0,1,3,4,7.4,2,1.608695652173913
2,29,31,1,1,60.0,4,6,0.0,0,5,2,8.571428571428571,2,1.935483870967742
3,14,22,1,2,13.0,3,0,0.0,1,4,2,13.0,2,0.5909090909090909
2,70,64,1,18,98.0,1,31,0.0,1,2,4,3.0625,3,1.53125
1,62,52,1,2,195.0,1,23,0.0,0,2,3,8.125,3,3.75
2,7,35,1,0,47.0,1,14,0.0,0,5,1,3.1333333333333333,2,1.3428571428571427
1,56,47,1,19,65.0,2,22,0.0,0,3,4,2.8260869565217392,2,1.3829787234042554
1,50,50,1,22,150.0,5,5,0.0,1,4,2,25.0,2,3.0
2,57,39,0,6,106.0,5,8,0.0,0,1,3,11.777777777777779,2,2.717948717948718
3,2,40,0,19,51.0,4,14,0.0,1,1,1,3.4,2,1.275
2,40,38,0,17,96.0,4,0,0.0,1,1,1,96.0,2,2.526315789473684
2,6,43,0,4,33.0,5,7,0.0,0,2,3,4.125,2,0.7674418604651163
3,23,25,1,6,38.0,2,1,0.0,1,3,3,19.0,2,1.52
3,11,32,0,6,125.0,4,5,0.0,0,1,4,20.833333333333332,2,3.90625
1,29,37,1,13,145.0,5,0,0.0,1,4,4,145.0,2,3.918918918918919
1,42,44,1,2,99.0,2,21,0.0,0,3,3,4.5,2,2.25
1,20,34,1,2,22.0,4,0,0.0,1,3,4,22.0,2,0.6470588235294118
2,72,60,1,21,31.0,1,38,1.0,0,2,2,0.7948717948717948,3,0.5166666666666667
1,2,36,0,3,25.0,1,6,0.0,1,1,3,3.5714285714285716,2,0.6944444444444444
3,46,25,0,5,57.0,5,0,0.0,1,2,1,57.0,2,2.28
2,39,51,1,21,41.0,5,20,0.0,0,6,4,1.9523809523809523,3,0.803921568627451
3,24,25,1,1,20.0,3,1,0.0,1,2,2,10.0,2,0.8
3,59,43,1,4,101.0,2,22,0.0,1,5,2,4.391304347826087,2,2.3488372093023258
1,65,37,0,8,56.0,2,15,0.0,0,1,2,3.5,2,1.5135135135135136
2,50,27,1,5,22.0,2,5,0.0,1,3,1,3.6666666666666665,2,0.8148148148148148
1,57,37,0,11,108.0,4,9,0.0,1,1,3,10.8,2,2.918918918918919
3,61,48,0,14,115.0,4,20,0.0,1,1,4,5.476190476190476,2,2.3958333333333335
3,34,54,0,31,53.0,4,22,0.0,0,1,4,2.3043478260869565,3,0.9814814814814815
3,38,53,0,13,242.0,4,12,0.0,0,1,4,18.615384615384617,3,4.566037735849057
1,3,24,1,2,20.0,2,3,0.0,1,5,3,5.0,2,0.8333333333333334
2,4,47,0,5,123.0,4,11,0.0,0,1,1,10.25,2,2.617021276595745
2,15,35,0,0,34.0,1,12,0.0,0,1,1,2.6153846153846154,2,0.9714285714285714
1,25,29,1,8,31.0,4,3,0.0,1,5,2,7.75,2,1.0689655172413792
3,21,44,0,25,47.0,1,12,0.0,1,2,3,3.6153846153846154,2,1.0681818181818181
3,50,37,1,11,48.0,3,8,0.0,1,2,3,5.333333333333333,2,1.2972972972972974
2,65,64,1,22,13.0,2,5,1.0,1,3,3,2.1666666666666665,3,0.203125
2,59,52,1,18,78.0,1,25,0.0,0,2,1,3.0,3,1.5
3,29,26,0,7,34.0,1,7,0.0,1,2,3,4.25,2,1.3076923076923077
1,60,46,0,17,81.0,5,9,0.0,1,1,2,8.1,2,1.7608695652173914
1,71,45,1,14,86.0,2,25,0.0,0,2,2,3.3076923076923075,2,1.9111111111111112
3,38,27,1,0,26.0,4,2,0.0,0,4,4,8.666666666666666,2,0.9629629629629629
3,16,34,1,5,51.0,2,8,0.0,1,5,1,5.666666666666667,2,1.5
3,7,31,0,10,59.0,3,10,0.0,0,1,1,5.363636363636363,2,1.903225806451613
1,59,53,0,21,112.0,4,16,0.0,0,1,2,6.588235294117647,3,2.1132075471698113
2,22,56,1,14,57.0,4,28,0.0,0,2,4,1.9655172413793103,3,1.0178571428571428
1,18,48,1,20,41.0,1,2,0.0,1,2,1,13.666666666666666,2,0.8541666666666666
2,64,46,1,19,168.0,2,26,0.0,1,2,4,6.222222222222222,2,3.652173913043478
2,7,33,0,4,29.0,4,4,0.0,1,3,1,5.8,2,0.8787878787878788
3,65,58,0,13,167.0,2,14,0.0,1,2,2,11.133333333333333,3,2.8793103448275863
3,7,24,0,5,29.0,2,3,0.0,0,3,1,7.25,2,1.2083333333333333
1,64,55,0,28,104.0,1,26,0.0,1,1,3,3.8518518518518516,3,1.8909090909090909
3,42,22,1,0,46.0,4,0,0.0,0,2,4,46.0,2,2.090909090909091
3,33,26,0,5,46.0,4,1,0.0,1,3,4,23.0,2,1.7692307692307692
1,3,33,0,8,51.0,4,0,0.0,1,1,1,51.0,2,1.5454545454545454
2,69,42,1,11,65.0,2,18,0.0,0,2,4,3.4210526315789473,2,1.5476190476190477
2,9,33,0,1,48.0,2,13,0.0,0,2,1,3.4285714285714284,2,1.4545454545454546
3,22,34,1,1,46.0,3,1,0.0,0,4,2,23.0,2,1.3529411764705883
2,53,63,1,15,43.0,2,18,0.0,0,2,2,2.263157894736842,3,0.6825396825396826
3,71,53,0,30,110.0,1,34,0.0,0,1,2,3.142857142857143,3,2.0754716981132075
3,24,26,0,2,32.0,3,2,0.0,0,3,1,10.666666666666666,2,1.2307692307692308
3,12,22,1,1,18.0,3,0,0.0,1,2,1,18.0,2,0.8181818181818182
1,25,39,1,1,26.0,4,0,0.0,0,4,2,26.0,2,0.6666666666666666
3,63,28,1,9,34.0,2,10,0.0,1,6,3,3.090909090909091,2,1.2142857142857142
1,33,54,1,18,57.0,4,4,0.0,1,3,3,11.4,3,1.0555555555555556
2,57,54,1,20,21.0,2,0,0.0,1,3,1,21.0,3,0.3888888888888889
3,13,33,0,7,38.0,3,10,0.0,1,1,4,3.4545454545454546,2,1.1515151515151516
1,13,21,0,2,19.0,3,0,0.0,1,1,2,19.0,1,0.9047619047619048
1,71,39,0,2,40.0,3,17,0.0,0,1,3,2.2222222222222223,2,1.0256410256410255
3,18,69,1,11,58.0,3,8,0.0,0,2,4,6.444444444444445,4,0.8405797101449275
1,17,51,1,10,95.0,2,15,0.0,1,2,1,5.9375,3,1.8627450980392157
2,22,43,0,4,114.0,2,19,0.0,0,1,1,5.7,2,2.6511627906976742
2,65,65,1,27,128.0,3,24,0.0,0,2,3,5.12,3,1.9692307692307693
3,7,40,0,9,33.0,4,2,0.0,1,1,1,11.0,2,0.825
3,72,66,0,30,460.0,4,41,0.0,1,1,4,10.952380952380953,4,6.96969696969697
1,35,43,0,12,224.0,3,17,0.0,0,1,1,12.444444444444445,2,5.209302325581396
1,24,39,0,2,122.0,4,12,0.0,0,3,4,9.384615384615385,2,3.128205128205128
1,64,24,1,0,23.0,3,1,0.0,1,5,2,11.5,2,0.9583333333333334
2,63,63,1,19,191.0,3,27,0.0,0,2,2,6.821428571428571,3,3.0317460317460316
1,38,31,1,7,187.0,4,6,0.0,0,3,4,26.714285714285715,2,6.032258064516129
2,29,37,1,9,119.0,3,12,0.0,0,3,1,9.153846153846153,2,3.2162162162162162
1,72,69,1,49,44.0,2,44,1.0,1,2,3,0.9777777777777777,4,0.6376811594202898
1,10,27,1,2,15.0,3,2,0.0,1,2,4,5.0,2,0.5555555555555556
3,72,64,0,41,674.0,4,37,0.0,1,1,3,17.736842105263158,3,10.53125
3,52,23,1,4,33.0,4,0,0.0,1,2,3,33.0,2,1.434782608695652
3,13,55,0,3,250.0,2,35,0.0,1,2,1,6.944444444444445,3,4.545454545454546
1,3,33,0,6,64.0,4,0,0.0,0,2,1,64.0,2,1.9393939393939394
3,39,24,1,2,26.0,2,4,0.0,0,4,1,5.2,2,1.0833333333333333
2,28,29,0,4,23.0,3,5,0.0,0,2,2,3.8333333333333335,2,0.7931034482758621
2,46,42,0,9,52.0,4,7,0.0,0,3,2,6.5,2,1.2380952380952381
2,62,46,0,27,200.0,3,9,0.0,1,1,1,20.0,2,4.3478260869565215
2,23,33,1,7,28.0,1,4,0.0,0,2,3,5.6,2,0.8484848484848485
3,23,25,1,5,19.0,5,0,0.0,0,3,4,19.0,2,0.76
2,72,61,1,39,76.0,3,21,0.0,0,2,4,3.4545454545454546,3,1.2459016393442623
3,56,60,0,26,70.0,2,20,0.0,0,1,1,3.3333333333333335,3,1.1666666666666667
1,8,30,0,1,34.0,2,9,0.0,1,1,3,3.4,2,1.1333333333333333
3,3,36,0,7,34.0,5,3,0.0,1,3,4,8.5,2,0.9444444444444444
3,37,37,0,7,172.0,3,13,0.0,0,1,1,12.285714285714286,2,4.648648648648648
3,37,53,1,13,48.0,1,10,0.0,0,3,3,4.363636363636363,3,0.9056603773584906
2,6,30,0,9,45.0,2,2,0.0,1,1,1,15.0,2,1.5
1,48,47,0,9,72.0,3,13,0.0,0,5,4,5.142857142857143,2,1.5319148936170213
2,43,43,1,3,55.0,4,18,0.0,1,4,4,2.8947368421052633,2,1.2790697674418605
2,21,29,0,7,40.0,4,2,0.0,1,4,1,13.333333333333334,2,1.3793103448275863
3,6,33,0,12,26.0,3,0,0.0,0,1,3,26.0,2,0.7878787878787878
2,69,51,0,18,96.0,1,33,0.0,0,4,3,2.823529411764706,3,1.8823529411764706
1,22,33,0,9,54.0,1,10,0.0,0,1,3,4.909090909090909,2,1.6363636363636365
1,28,40,1,1,47.0,2,9,0.0,1,3,3,4.7,2,1.175
1,71,47,1,23,142.0,1,30,0.0,0,2,2,4.580645161290323,2,3.021276595744681
2,7,37,0,5,57.0,4,1,0.0,0,1,1,28.5,2,1.5405405405405406
1,63,29,0,10,20.0,3,7,0.0,0,2,4,2.5,2,0.6896551724137931
2,53,57,0,25,37.0,1,7,0.0,0,1,2,4.625,3,0.6491228070175439
2,50,52,1,17,36.0,4,16,0.0,0,4,4,2.1176470588235294,3,0.6923076923076923
2,39,31,1,6,24.0,4,2,0.0,0,2,4,8.0,2,0.7741935483870968
3,16,19,0,0,21.0,2,0,0.0,1,1,1,21.0,1,1.105263157894737
3,43,51,1,15,186.0,3,25,0.0,0,2,4,7.153846153846154,3,3.6470588235294117
3,44,31,0,12,30.0,1,7,0.0,1,3,1,3.75,2,0.967741935483871
2,72,66,1,43,96.0,2,16,0.0,1,2,4,5.647058823529412,4,1.4545454545454546
3,61,76,0,39,15.0,1,29,1.0,0,1,3,0.5,4,0.19736842105263158
3,43,21,1,1,25.0,1,4,0.0,0,4,2,5.0,1,1.1904761904761905
3,24,39,0,11,49.0,3,7,0.0,1,1,1,6.125,2,1.2564102564102564
